id,name,type,lat,lon,elevation,description,facilities,capacity
北大武山,北大武山,peak,22.625737,120.761032,3089.0,,,
南大武山,南大武山,peak,22.570744,120.747814,2839.0,,,
西大武山,西大武山,peak,22.618289,120.726871,1891.0,,,
檜谷山莊,檜谷山莊,shelter,22.615239,120.742257,2115.0,,,
北大武山登山口,北大武山登山口,trailhead,22.616388,120.700489,9999.0,,,
日湯真山,日湯真山,peak,22.628034,120.703783,1703.0,,,
霧頭山,霧頭山,peak,22.692111,120.787468,2729.0,,,
知本主山,知本主山,peak,22.724732,120.881538,2227.0,,,
大鬼湖,大鬼湖,peak,22.86886,120.862098,2450.0,,,
麻留賀山,麻留賀山,peak,22.801662,120.760345,2286.0,,,
倫原山,倫原山,peak,22.830301,120.787125,2433.0,,,
大母母山,大母母山,peak,22.825792,120.749016,2423.0,,,
尾寮山,尾寮山,peak,22.856878,120.677605,1426.0,,,
井步山,井步山,peak,22.720615,120.739231,2066.0,,,
