id,name,type,lat,lon,elevation,description,facilities,capacity
nanhu_siyuan_trailhead,思源埡口登山口,trailhead,24.391339,121.352534,1948.0,南湖大山主要登山口,停車場,
nanhu_duoga_cabin,多加屯山屋,shelter,24.368208,121.372833,2930.0,第一晚住宿點,住宿;廁所;用水,
nanhu_main_peak,南湖大山主峰,peak,24.361758,121.439288,3742.0,中央山脈第三高峰，帝王之山,,
nanhu_east_peak,南湖東峰,peak,24.36553,121.451004,3632.0,展望極佳,,
多加屯山,多加屯山,peak,24.367739,121.381116,2793.0,,,
新雲稜山屋,新雲稜山屋,shelter,24.378294,121.397209,2615.0,,,
南湖溪山屋,南湖溪山屋,shelter,24.370241,121.397188,2209.0,,,
審馬陣山屋,審馬陣山屋,shelter,24.381069,121.426134,3200.0,,,
南湖大山北峰,南湖大山北峰,peak,24.373808,121.441712,3563.0,,,
南湖大山東北峰,南湖大山東北峰,peak,24.375963,121.446787,3557.0,,,
陶賽峰,陶賽峰,peak,24.358963,121.459973,3519.0,,,
第一香菇寮,第一香菇寮,shelter,24.343793,121.406608,9999.0,,,
中央尖山,中央尖山,peak,24.30983,121.416306,3698.0,,,
中央尖山東峰,中央尖山東峰,peak,24.308119,121.423613,3581.0,,,
中央尖山西峰,中央尖山西峰,peak,24.308579,121.40429,3421.0,,,
馬杉比山,馬杉比山,peak,24.347722,121.486473,3211.0,,,
南湖大山中峰,南湖大山中峰,peak,24.364475,121.445038,3574.0,,,
南湖大山中南峰,南湖大山中南峰,peak,24.360282,121.447474,3585.0,,,
南湖大山南峰,南湖大山南峰,peak,24.347253,121.434717,3505.0,,,
巴巴山,巴巴山,peak,24.342092,121.437936,3448.0,,,
巴巴山南峰,巴巴山南峰,peak,24.335992,121.432314,3295.0,,,
南湖南峰山屋,南湖南峰山屋,shelter,24.352922,121.432936,9999.0,,,
中央尖溪山屋,中央尖溪山屋,shelter,24.334663,121.418495,2430.0,,,
審馬陣山,審馬陣山,peak,24.379974,121.417508,3140.0,,,
勝光登山口,勝光登山口,trailhead,24.375714,121.346827,2200.0,,,
南湖北山,南湖北山,peak,24.384079,121.436949,3534.0,,,
木杆鞍部,木杆鞍部,waypoint,24.376095,121.392902,2515.0,,,
