id,name,type,lat,lon,elevation,description,facilities,capacity
安東軍山,安東軍山,peak,23.872182,121.266575,3067.0,,,
安東軍山北峰,安東軍山北峰,peak,23.883326,121.268892,3022.0,,,
能高山南峰,能高山南峰,peak,23.96398,121.278763,3348.0,,,
能高山,能高山,peak,23.991742,121.260223,3261.0,,,
白石山,白石山,peak,23.907496,121.274643,3107.0,,,
屯鹿妹池,屯鹿妹池,shelter,23.887437,121.264483,9999.0,,,
屯鹿池,屯鹿池,shelter,23.889487,121.26444,9999.0,,,
雲海保線所,雲海保線所,waypoint,24.046268,121.236534,9999.0,,,
天池山莊,天池山莊,shelter,24.045132,121.27902,2860.0,,,
屯原登山口,屯原登山口,trailhead,24.053136,121.210356,9999.0,,,
南華山,南華山,peak,24.038547,121.28623,3182.0,,,
奇萊南峰,奇萊南峰,peak,24.061121,121.280222,3357.0,,,
奇萊裡山,奇萊裡山,peak,24.061748,121.300392,3385.0,,,
能高山東峰,能高山東峰,peak,24.005229,121.283827,2782.0,,,
卡賀爾山,卡賀爾山,peak,24.006013,121.270351,3104.0,,,
光頭山,光頭山,peak,23.938408,121.272755,3077.0,,,
白石池,白石池,shelter,23.925199,121.275823,9999.0,,,
白石池妹池,白石池妹池,shelter,23.920413,121.275287,9999.0,,,
萬里池,萬里池,shelter,23.901376,121.27121,9999.0,,,
奧萬大吊橋,奧萬大吊橋,trailhead,23.946214,121.191216,9999.0,,,
萬大南溪匯流點,萬大南溪匯流點,waypoint,23.946135,121.229646,9999.0,,,
太魯閣大山,太魯閣大山,peak,24.078988,121.421156,3282.0,,,
大理石營地,大理石營地,shelter,24.121767,121.444802,3000.0,,,
磐石山,磐石山,peak,24.10414,121.388626,3105.0,,,
磐石山中峰,磐石山中峰,peak,24.10461,121.370687,3149.0,,,
奇萊北峰,奇萊北峰,peak,24.118065,121.334574,3606.0,,,
帕托魯山,帕托魯山,peak,24.099439,121.467247,3102.0,,,
江口山,江口山,peak,24.14597,121.495914,2062.0,,,
岳王亭,岳王亭,trailhead,24.176698,121.514304,9999.0,,,
奇萊池山,奇萊池山,peak,24.099283,121.323051,3436.0,,,
奇萊主山,奇萊主山,peak,24.085336,121.32288,3562.0,,,
卡羅樓山,卡羅樓山,peak,24.077343,121.315155,3413.0,,,
摩即山,摩即山,peak,23.845571,121.244602,2643.0,,,
草山,草山,peak,23.820526,121.239195,2810.0,,,
卡社大山,卡社大山,peak,23.780946,121.219969,2945.0,,,
六順山,六順山,peak,23.723912,121.239281,3006.0,,,
屏風山,屏風山,peak,24.148163,121.343651,3248.0,,,
