id,name,type,lat,lon,elevation,description,facilities,capacity
羊頭山,羊頭山,peak,24.208534,121.379871,3033.0,,,
北畢祿山,北畢祿山,peak,24.222389,121.343136,3197.0,,,
畢祿山南峰,畢祿山南峰,peak,24.201958,121.349144,3029.0,,,
畢祿山,畢祿山,peak,24.21323,121.347256,3370.0,,,
鉅山東峰,鉅山東峰,peak,24.206459,121.37043,3060.0,,,
鋸山,鋸山,peak,24.210999,121.355066,3338.0,,,
鈴鳴山,鈴鳴山,peak,24.244382,121.351848,3271.0,,,
無明山西峰,無明山西峰,peak,24.253773,121.371975,3232.0,,,
無明山,無明山,peak,24.255181,121.38485,3449.0,,,
鬼門關峰,鬼門關峰,peak,24.264885,121.384592,3374.0,,,
甘藷南峰,甘藷南峰,peak,24.279673,121.380129,3160.0,,,
甘藷峰,甘藷峰,peak,24.290039,121.389999,3157.0,,,
遠多志山,遠多志山,peak,24.283976,121.370258,2888.0,,,
耳無溪匯流點,耳無溪匯流點,waypoint,24.295212,121.345979,9999.0,,,
175k_登山口,17.5K 登山口,trailhead,24.297471,121.330519,9999.0,,,
730林道25k工寮,730林道25K工寮,shelter,24.258155,121.328201,9999.0,,,
730林道175k登山口,730林道17.5K登山口,trailhead,24.297471,121.330519,9999.0,,,
閂山,閂山,peak,24.258312,121.310091,3168.0,,,
人待山,人待山,peak,24.250917,121.339831,3114.0,,,
卯木山,卯木山,peak,24.186926,121.317129,2818.0,,,
