id,name,type,lat,lon,elevation,description,facilities,capacity
塔關山,塔關山,peak,23.25215,120.941448,3219.0,,,
卑南主山,卑南主山,peak,23.050355,120.874157,3294.0,,,
關山,關山,peak,23.22715,120.911579,3667.0,,,
海諾南山,海諾南山,peak,23.184077,120.910892,3173.0,,,
小關山,小關山,peak,23.151567,120.876904,3248.0,,,
鷹仔嘴山,鷹仔嘴山,peak,23.244658,120.937243,3306.0,,,
恐龍尖山,恐龍尖山,peak,23.248345,120.939174,3234.0,,,
庫哈諾辛山,庫哈諾辛山,peak,23.262007,120.89922,3114.0,,,
庫哈諾辛山屋,庫哈諾辛山屋,shelter,23.254437,120.910549,3026.0,,,
關山北峰,關山北峰,peak,23.244382,120.926085,3423.0,,,
小關山北峰,小關山北峰,peak,23.16151,120.895314,3239.0,,,
雲水山,雲水山,peak,23.137045,120.887632,3013.0,,,
卑南主山北峰,卑南主山北峰,peak,23.05999,120.869694,3261.0,,,
