id,name,type,lat,lon,elevation,description,facilities,capacity
大水窟北峰,大水窟北峰,peak,23.480724,121.047535,3631.0,,,
大水窟山,大水窟山,peak,23.473639,121.038694,3643.0,,,
三叉山,三叉山,peak,23.297329,121.028309,3495.0,,,
關山嶺山,關山嶺山,peak,23.269262,120.959816,3176.0,,,
南雙頭山,南雙頭山,peak,23.345881,121.010885,3356.0,,,
大分富士山,大分富士山,peak,23.333942,121.032815,3060.0,,,
拉庫音溪山屋,拉庫音溪山屋,shelter,23.328346,121.025734,2690.0,,,
雲峰,雲峰,peak,23.353288,120.975266,3562.0,,,
向陽山,向陽山,peak,23.283927,120.992517,3602.0,,,
魔保來山,魔保來山,peak,23.282035,120.972691,3298.0,,,
轆轆山,轆轆山,peak,23.390634,121.000328,3279.0,,,
達芬尖山,達芬尖山,peak,23.433482,121.013031,3208.0,,,
戒茂斯山,戒茂斯山,peak,23.242214,121.012602,2508.0,,,
嘉明湖避難山屋,嘉明湖避難山屋,shelter,23.283927,120.996852,3350.0,,,
塔芬山,塔芬山,peak,23.405758,121.027107,3069.0,,,
塔芬谷山屋,塔芬谷山屋,shelter,23.419542,121.027193,2605.0,,,
向陽山北峰,向陽山北峰,peak,23.291239,121.008503,3435.0,,,
