id,name,type,lat,lon,elevation,description,facilities,capacity
六順山,六順山,peak,23.724226,121.239624,3006.0,,,
關門北山,關門北山,peak,23.693734,121.238422,3044.0,,,
關門山,關門山,peak,23.675971,121.232758,2992.0,,,
大石公山,大石公山,peak,23.633349,121.224432,3054.0,,,
丹大山,丹大山,peak,23.600172,121.213531,3329.0,,,
丹大山東峰,丹大山東峰,peak,23.602335,121.224561,3143.0,,,
盧力拉駱山,盧力拉駱山,peak,23.596475,121.200228,3182.0,,,
太平溪溪源營地,太平溪溪源營地,shelter,23.590674,121.194069,9999.0,,,
內嶺爾山,內嶺爾山,peak,23.579367,121.196365,3275.0,,,
瑞穗林道28k工寮,瑞穗林道28K工寮,shelter,23.539989,121.254215,9999.0,,,
瑞穗林道水泥路止,瑞穗林道水泥路止,trailhead,23.534958,121.274858,9999.0,,,
瑞穗林道193k_水泥橋,瑞穗林道19.3K 水泥橋,trailhead,23.534958,121.274858,9999.0,,,
義西請馬至山,義西請馬至山,peak,23.586289,121.15315,3252.0,,,
東郡大山,東郡大山,peak,23.626832,121.092081,3617.0,,,
馬博拉斯山,馬博拉斯山,peak,23.519844,121.067533,3776.0,,,
秀姑巒山,秀姑巒山,peak,23.496153,121.057663,3829.0,,,
八通關山,八通關山,peak,23.488281,121.009598,3331.0,,,
觀高山屋,觀高山屋,peak,23.504024,121.000328,2588.0,,,
東埔登山口,東埔登山口,trailhead,23.555736,120.929217,9999.0,,,
馬加利南山,馬加利南山,peak,23.521339,121.117058,3561.0,,,
馬利亞文路山,馬利亞文路山,peak,23.514861,121.09206,3491.0,,,
