id,name,type,lat,lon,elevation,description,facilities,capacity
yushan_tataka_trailhead,塔塔加登山口,trailhead,23.4757522, 120.8999713,2610,玉山主要登山口，有停車場和廁所,停車場;廁所,
yushan_paiyun_hut,排雲山莊,shelter,23.466356,120.949817,3402.0,玉山主要山屋，需申請床位,住宿;廁所;用水,116
yushan_main_peak,玉山主峰,peak,23.469998, 120.957246,3952,台灣第一高峰，百岳之首,,
yushan_front_peak,玉山前峰,peak,23.475056,120.917459,3239.0,展望極佳，可遠眺玉山主峰,,
yushan_east_peak,玉山東峰,peak,23.470726,120.965395,3869.0,玉山第二高峰，景觀壯麗,,
yushan_north_peak,玉山北峰,peak,23.487258,120.959687,3858.0,玉山第三高峰，路線較長,,
yushan_west_peak,玉山西峰,peak,23.471828,120.933595,3518.0,路線險峻，需有經驗,,
,玉山北北峰,peak,23.49084,120.959258,3833.0,,,
圓峰山屋,圓峰山屋,shelter,23.456642,120.95487,3694.0,,,
玉山圓峰,玉山圓峰,peak,23.457784,120.953314,3752.0,,,
玉山南峰,玉山南峰,peak,23.446524,120.95899,3844.0,,,
玉山三叉峰,玉山三叉峰,peak,23.448626,120.955364,3807.0,,,
玉山小南山,玉山小南山,peak,23.440982,120.936749,3582.0,,,
鹿山,鹿山,peak,23.450688,120.988827,2981.0,,,
